time,pitch,pitch_est,roll,roll_est
1.03,0.371330827,0.352420824,-0.009540374,-0.010498885
1.04,0.362957388,0.345895206,-0.009598455,-0.011284668
1.05,0.350597531,0.34039115,-0.009998473,-0.01332382
1.06,0.302823246,0.317748582,-0.009718942,-0.023779616
1.07,0.250408798,0.256720104,-0.010001133,-0.016758817
1.08,0.227303654,0.226558453,-0.010644644,-0.014934038
1.09,0.22354126,0.215733731,-0.010846488,-0.013303972
1.1,0.213648185,0.205992578,-0.010671569,-0.014960517
1.11,0.185774758,0.182314704,-0.010493285,-0.017693056
1.12,0.147338778,0.147133358,-0.01024233,-0.019298036
1.13,0.104821026,0.106552156,-0.009675049,-0.021429418
1.14,0.051785786,0.02503916,-0.009056184,-0.012422736
1.15,0.030088807,0.014567987,-0.007311256,-0.012552912
1.16,0.026370199,0.004504173,-0.00668116,-0.007066211
1.17,0.026422182,0.00198308,-0.005540826,-0.005170367
1.18,0.026799183,-0.022360139,-0.005203088,-0.016291898
1.19,0.025556361,-0.013794147,-0.006149301,-0.01341476
1.2,0.025676258,-0.010636463,-0.005467106,-0.009590345
1.21,0.025557272,-0.007848424,-0.005410473,-0.008420799
1.22,0.025403881,-0.005981856,-0.005265624,-0.007974444
1.23,0.025451845,-0.006379498,-0.005247792,-0.007543617
1.24,0.024952132,-0.003293327,-0.004975363,-0.008093752
1.25,0.024489317,-0.005757451,-0.005199337,-0.007645382
1.26,0.023355603,-0.004952722,-0.005102767,-0.0043992
1.27,0.02178194,-0.007861135,-0.005038781,-0.005182147
1.28,0.019851523,-0.00732611,-0.003847611,-0.005725905
1.29,0.017421694,-0.010124869,-0.002570303,-0.047844262
1.3,0.00057867,-0.015088989,-0.003528426,-0.033292597
1.31,-0.045609184,-0.045191777,-0.002784359,-0.028352888
1.32,-0.109852105,-0.092156103,-0.002453842,-0.02337658
1.33,-0.16059348,-0.137201007,-0.001600513,-0.015119453
1.34,-0.209736094,-0.195771985,0.005053829,-0.016483296
1.35,-0.247982159,-0.236345744,0.004268037,-0.042107123
1.36,-0.280527383,-0.264360986,0.003004786,-0.022788543
1.37,-0.31794399,-0.301353421,0.003173569,-0.016794514
1.38,-0.360240966,-0.336796838,0.003690921,-0.010022593
1.39,-0.405881763,-0.37931777,0.004761748,-0.009488392
1.4,-0.450040132,-0.424001664,0.004681284,-0.012616784
1.41,-0.481854767,-0.456052251,0.005388772,-0.008230677
1.42,-0.508144379,-0.48079154,0.006267986,0.023897647
1.43,-0.531651855,-0.501812253,0.008260647,-0.020473448
1.44,-0.555791497,-0.522486879,0.006881546,-0.011872163
1.45,-0.581889749,-0.544588589,0.004904089,-0.01120275
1.46,-0.60776031,-0.56611881,0.004154691,-0.008919551
1.47,-0.630128324,-0.587741591,0.003387069,-0.01224921
1.48,-0.648930132,-0.604045046,0.00387693,-0.010242651
1.49,-0.666079879,-0.619673936,0.004389361,-0.008931371
1.5,-0.677630544,-0.629191138,0.004307836,-0.004136338
1.51,-0.684908986,-0.637987558,0.001606431,-0.001916445
1.52,-0.686418414,-0.644129833,0.000765015,-0.000213266
1.53,-0.679442227,-0.640166096,0.001074254,0.000238823
1.54,-0.672584951,-0.637979663,0.000843152,-0.001139585
1.55,-0.672738552,-0.636266878,0.001333434,-0.002193418
1.56,-0.674928606,-0.636164962,0.000779955,-0.002821596
1.57,-0.677064061,-0.637913024,0.000747051,-0.003939014
1.58,-0.678065479,-0.640855128,0.000803677,-0.002646543
1.59,-0.678196907,-0.639483081,0.000586628,-0.001832217
1.6,-0.677922368,-0.640346872,-0.002110216,-0.000527868
1.61,-0.677631617,-0.638405953,-0.002602303,0.000640809
1.62,-0.677853346,-0.639225569,-0.00219192,0.000786269
1.63,-0.676739991,-0.63742492,-0.00212652,0.000433147
1.64,-0.676398039,-0.637577459,-0.002810737,-0.001405292
1.65,-0.675370336,-0.636826655,-0.003243005,-0.000601982
1.66,-0.67218405,-0.635030282,-0.003187746,-0.001079223
1.67,-0.664282262,-0.631036495,-0.001407489,0.002708553
1.68,-0.642103016,-0.619497551,-0.002125381,0.003948892
1.69,-0.608727872,-0.595156829,-0.002372742,0.00539129
1.7,-0.579349279,-0.571966066,-0.002980168,0.003332732
1.71,-0.552667856,-0.549823331,-0.002682407,0.005041669
1.72,-0.524805665,-0.528344365,-0.002615872,0.005127355
1.73,-0.484583884,-0.497826051,-0.00361703,0.00858307
1.74,-0.428708017,-0.4528126,-0.00405864,0.009929879
1.75,-0.367582232,-0.405243105,-0.002590663,0.008874798
1.76,-0.30241999,-0.348440029,-0.003267934,0.007232061
1.77,-0.243427545,-0.28983569,-0.00300263,0.01080291
1.78,-0.211330026,-0.24959717,-0.006933766,0.001503425
1.79,-0.20774734,-0.239588041,-0.007835503,-0.000963108
1.8,-0.187334463,-0.216095511,-0.008893566,0.001576585
1.81,-0.148390263,-0.179219177,-0.008555684,0.00410169
1.82,-0.120335661,-0.15137379,-0.008098406,0.001179302
1.83,-0.099437781,-0.128643354,-0.008587995,0.001107011
1.84,-0.072060272,-0.101129157,-0.009104777,0.002192824
1.85,-0.039947458,-0.072839305,-0.009501308,0.000605777
1.86,-0.002988568,-0.03804895,-0.008144533,-0.02817673
1.87,-0.002468516,-0.024374011,-0.008720952,-0.015371713
1.88,-0.001278543,-0.018552941,-0.009089625,-0.011660676
1.89,-4.81E-05,-0.008255389,-0.009779988,-0.012117397
1.9,0.001396435,-0.007995974,-0.009972483,-0.008523999
1.91,0.001128852,-0.006435035,-0.009793607,-0.00819631
